id,source_id,name,company,stage_id,technology,facility_type,city,state,country_code,latitude,longitude,status,measure_type,measure_value,measure_unit,measure_period,source_url,limitation
unimacts-solar-manufacturing-las-vegas-nevada,doe_pv_mfg_map_20260615,Unimacts Solar Manufacturing,Unimacts Solar Manufacturing,structures,shared,S-BOS: tracker components,Las Vegas,Nevada,USA,36.104281,-115.197054,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
unimacts-solar-manufacturing-origami-conroe-texas,doe_pv_mfg_map_20260615,Unimacts Solar Manufacturing (Origami),Unimacts Solar Manufacturing (Origami),modules,shared,Components: frames,Conroe,Texas,USA,30.343917,-95.453424,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
unimacts-solar-manufacturing-sloan-nevada,doe_pv_mfg_map_20260615,Unimacts Solar Manufacturing,Unimacts Solar Manufacturing,structures,shared,S-BOS: torque tubes,Sloan,Nevada,USA,35.92862,-115.197208,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
unirac-albuquerque-new-mexico,doe_pv_mfg_map_20260615,Unirac,Unirac,structures,shared,S-BOS: racking,Albuquerque,New Mexico,USA,35.097685,-106.64219,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
us-modules-college-station-texas,doe_pv_mfg_map_20260615,US Modules,US Modules,modules,c-si,Modules: c-Si,College Station,Texas,USA,30.585414,-96.396424,active,nameplate-capacity,0.4,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
vitro-architectural-glass-cochranton-pennsylvania,doe_pv_mfg_map_20260615,Vitro Architectural Glass,Vitro Architectural Glass,modules,shared,Components: solar glass,Cochranton,Pennsylvania,USA,41.531138,-80.205807,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
waaree-energies-brookshire-texas,doe_pv_mfg_map_20260615,Waaree Energies,Waaree Energies,modules,c-si,Modules: c-Si,Brookshire,Texas,USA,29.751489,-95.926749,active,nameplate-capacity,1.6,GWdc/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
wacker-polysilicon-north-america-charleston-tennessee,doe_pv_mfg_map_20260615,Wacker Polysilicon North America,Wacker Polysilicon North America,silicon,c-si,Polysilicon: Siemens,Charleston,Tennessee,USA,35.290484,-84.78993,active,nameplate-capacity,19000,tonnes/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
welser-profiles-origami-valley-city-ohio,doe_pv_mfg_map_20260615,Welser Profiles (Origami),Welser Profiles (Origami),modules,shared,Components: frames,Valley City,Ohio,USA,41.258224,-81.889745,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWdc/yr; this product is not sized against other facilities in the stage.
wva-manufacturing-alloy-west-virginia,doe_pv_mfg_map_20260615,WVA Manufacturing,WVA Manufacturing,silicon,c-si,Silicon: silicon metal,Alloy,West Virginia,USA,38.138806,-81.278011,active,nameplate-capacity,73000,tonnes/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
yaskawa-america-buffalo-grove-illinois,doe_pv_mfg_map_20260615,Yaskawa America,Yaskawa America,inverters,shared,Inverters: utility inverters,Buffalo Grove,Illinois,USA,42.15588,-87.934859,active,nameplate-capacity,1.25,GWac/year,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,"DOE-reported annual nameplate capacity; not observed production, utilization, or domestic market supply."
yaskawa-solectria-solar-franklin-wisconsin,doe_pv_mfg_map_20260615,Yaskawa Solectria Solar,Yaskawa Solectria Solar,inverters,shared,Inverters: utility inverters,Franklin,Wisconsin,USA,42.871455,-87.975109,active,nameplate-capacity,,,2026-06-15,https://www.energy.gov/cmei/systems/articles/us-domestic-solar-photovoltaic-manufacturing-map-data,DOE reports 0 MWac/yr; this product is not sized against other facilities in the stage.
